OriginalTraitName,OriginalTraitValue,Location,Latitude,Longitude,Consumer,ConCommon,ConGenus,ConSpecies,ConSize,ConSizeUnit,ConSizeType,ConSizeSI,ConSizeUnitSI,CitationID,Citation,DOI,FigureTable
Egg number,2564.544,Ireland,53,7,Salmo Salar,Atlantic Salmon,Salmo,salar,1.7822086,kg,weight,1.7822086,kilogram,22,"de Eyto, E., White, J., Boylan, P., Clarke, B., Cotter, D., Doherty, D., � O�Higgins, K. (2015). The fecundity of wild Irish Atlantic salmon Salmo salar L. and its application for stock assessment purposes. Fisheries Research, 164, 159�169. ",https://doi.org/10.1016/J.FISHRES.2014.11.017,Figure 5 
Egg number,2719.4492,Ireland,53,7,Salmo Salar,Atlantic Salmon,Salmo,salar,1.7453988,kg,weight,1.7453988,kilogram,22,"de Eyto, E., White, J., Boylan, P., Clarke, B., Cotter, D., Doherty, D., � O�Higgins, K. (2015). The fecundity of wild Irish Atlantic salmon Salmo salar L. and its application for stock assessment purposes. Fisheries Research, 164, 159�169. ",https://doi.org/10.1016/J.FISHRES.2014.11.017,Figure 5 
Egg number,2736.661,Ireland,53,7,Salmo Salar,Atlantic Salmon,Salmo,salar,1.791411,kg,weight,1.791411,kilogram,22,"de Eyto, E., White, J., Boylan, P., Clarke, B., Cotter, D., Doherty, D., � O�Higgins, K. (2015). The fecundity of wild Irish Atlantic salmon Salmo salar L. and its application for stock assessment purposes. Fisheries Research, 164, 159�169. ",https://doi.org/10.1016/J.FISHRES.2014.11.017,Figure 5 
Egg number,2874.3545,Ireland,53,7,Salmo Salar,Atlantic Salmon,Salmo,salar,1.791411,kg,weight,1.791411,kilogram,22,"de Eyto, E., White, J., Boylan, P., Clarke, B., Cotter, D., Doherty, D., � O�Higgins, K. (2015). The fecundity of wild Irish Atlantic salmon Salmo salar L. and its application for stock assessment purposes. Fisheries Research, 164, 159�169. ",https://doi.org/10.1016/J.FISHRES.2014.11.017,Figure 5 
Egg number,2943.2014,Ireland,53,7,Salmo Salar,Atlantic Salmon,Salmo,salar,1.7546012,kg,weight,1.7546012,kilogram,22,"de Eyto, E., White, J., Boylan, P., Clarke, B., Cotter, D., Doherty, D., � O�Higgins, K. (2015). The fecundity of wild Irish Atlantic salmon Salmo salar L. and its application for stock assessment purposes. Fisheries Research, 164, 159�169. ",https://doi.org/10.1016/J.FISHRES.2014.11.017,Figure 5 
Egg number,2822.7195,Ireland,53,7,Salmo Salar,Atlantic Salmon,Salmo,salar,1.6993865,kg,weight,1.6993865,kilogram,22,"de Eyto, E., White, J., Boylan, P., Clarke, B., Cotter, D., Doherty, D., � O�Higgins, K. (2015). The fecundity of wild Irish Atlantic salmon Salmo salar L. and its application for stock assessment purposes. Fisheries Research, 164, 159�169. ",https://doi.org/10.1016/J.FISHRES.2014.11.017,Figure 5 
Egg number,2874.3545,Ireland,53,7,Salmo Salar,Atlantic Salmon,Salmo,salar,1.6625767,kg,weight,1.6625767,kilogram,22,"de Eyto, E., White, J., Boylan, P., Clarke, B., Cotter, D., Doherty, D., � O�Higgins, K. (2015). The fecundity of wild Irish Atlantic salmon Salmo salar L. and its application for stock assessment purposes. Fisheries Research, 164, 159�169. ",https://doi.org/10.1016/J.FISHRES.2014.11.017,Figure 5 
Egg number,3012.048,Ireland,53,7,Salmo Salar,Atlantic Salmon,Salmo,salar,1.6533742,kg,weight,1.6533742,kilogram,22,"de Eyto, E., White, J., Boylan, P., Clarke, B., Cotter, D., Doherty, D., � O�Higgins, K. (2015). The fecundity of wild Irish Atlantic salmon Salmo salar L. and its application for stock assessment purposes. Fisheries Research, 164, 159�169. ",https://doi.org/10.1016/J.FISHRES.2014.11.017,Figure 5 
Egg number,2908.778,Ireland,53,7,Salmo Salar,Atlantic Salmon,Salmo,salar,1.3496933,kg,weight,1.3496933,kilogram,22,"de Eyto, E., White, J., Boylan, P., Clarke, B., Cotter, D., Doherty, D., � O�Higgins, K. (2015). The fecundity of wild Irish Atlantic salmon Salmo salar L. and its application for stock assessment purposes. Fisheries Research, 164, 159�169. ",https://doi.org/10.1016/J.FISHRES.2014.11.017,Figure 5 
Egg number,3029.26,Ireland,53,7,Salmo Salar,Atlantic Salmon,Salmo,salar,1.3496933,kg,weight,1.3496933,kilogram,22,"de Eyto, E., White, J., Boylan, P., Clarke, B., Cotter, D., Doherty, D., � O�Higgins, K. (2015). The fecundity of wild Irish Atlantic salmon Salmo salar L. and its application for stock assessment purposes. Fisheries Research, 164, 159�169. ",https://doi.org/10.1016/J.FISHRES.2014.11.017,Figure 5 
